OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT
27776,2016-03-18 19:30:17+00:00,Eschrichtius robustus,Gray Whale,3,34.36643,-119.722651,spotter_pro,5846,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.722651 34.36643)
27777,2016-03-18 20:38:07+00:00,Delphinus capensis,Common Long-Beaked Dolphin,100,34.345648,-119.717484,spotter_pro,5846,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.717484 34.345648)
27778,2016-03-18 21:30:47+00:00,Eschrichtius robustus,Gray Whale,1.0,37.54560642,-122.5144166,whale_alert,5847,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-122.5144166 37.54560642)
27779,2016-03-18 23:58:52+00:00,Eschrichtius robustus,Gray Whale,3.0,43.66293331,-124.1988939,whale_alert,5848,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-124.1988939 43.66293331)
27780,2016-03-19 00:12:31+00:00,Eschrichtius robustus,Gray Whale,2.0,43.66269803,-124.1990189,whale_alert,5849,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-124.1990189 43.66269803)
27785,2016-03-19 01:30:04+00:00,Eschrichtius robustus,Gray Whale,2.0,43.64759032,-124.2092745,whale_alert,5851,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-124.2092745 43.64759032)
27786,2016-03-18 23:21:51+00:00,Megaptera novaeangliae,Humpback Whale,1,34.091029,-119.493051,spotter_pro,5852,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.493051 34.091029)
27787,2016-03-18 23:37:37+00:00,,Unidentified common dolphin,100,34.144149,-119.416408,spotter_pro,5852,Certain,HumanObservation,,POINT (-119.416408 34.144149)
27788,2016-03-18 16:54:34+00:00,Megaptera novaeangliae,Humpback Whale,1,34.124137,-119.453947,spotter_pro,5853,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.453947 34.124137)
27789,2016-03-18 16:32:52+00:00,,Unidentified common dolphin,50,34.173011,-119.37775,spotter_pro,5853,Certain,HumanObservation,,POINT (-119.37775 34.173011)
27790,2016-03-16 19:23:26+00:00,Eschrichtius robustus,Gray Whale,2,34.380452,-119.700375,spotter_pro,5854,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.700375 34.380452)
27791,2016-03-16 20:48:45+00:00,Eschrichtius robustus,Gray Whale,2,34.370479,-119.692849,spotter_pro,5854,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.692849 34.370479)
27793,2016-03-16 20:09:42+00:00,Eschrichtius robustus,Gray Whale,3,34.374053,-119.698018,spotter_pro,5854,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.698018 34.374053)
