"","vernacularName","scientificName","OccurenceID","individualCount","app_used","lat","lon","occurenceStatus","date","month","year"
"26","Gray Whale","Eschrichtius robustus","50759",1,"spotter_pro",34.189214,-119.40814,"Certain",2018-01-28,1,2018
"27","Gray Whale","Eschrichtius robustus","50760",4,"spotter_pro",34.05104,-119.541577,"Certain",2018-01-28,1,2018
"28","Gray Whale","Eschrichtius robustus","50761",2,"spotter_pro",34.067493,-119.479584,"Uncertain",2018-01-28,1,2018
"29","Gray Whale","Eschrichtius robustus","50780",1,"spotter_pro",34.175578,-119.29238,"Certain",2018-01-28,1,2018
"30","Gray Whale","Eschrichtius robustus","50778",1,"spotter_pro",34.149799,-119.316385,"Certain",2018-01-28,1,2018
"31","Gray Whale","Eschrichtius robustus","50779",3,"spotter_pro",34.134649,-119.44239,"Certain",2018-01-28,1,2018
"32","Gray Whale","Eschrichtius robustus","50851",4,"spotter_pro",34.082804,-119.885483,"Certain",2018-02-01,2,2018
"33","Gray Whale","Eschrichtius robustus","50914",1,"spotter_pro",34.02486,-119.338702,"Certain",2018-02-04,2,2018
"34","Gray Whale","Eschrichtius robustus","50907",1,"spotter_pro",34.194633,-119.25708,"Certain",2018-02-04,2,2018
"35","Gray Whale","Eschrichtius robustus","50909",4,"spotter_pro",33.991278,-119.392831,"Certain",2018-02-04,2,2018
"36","Gray Whale","Eschrichtius robustus","50945",3,"spotter_pro",34.05436,-119.528711,"Certain",2018-02-07,2,2018
"37","Gray Whale","Eschrichtius robustus","51241",1,"spotter_pro",34.379008,-119.690768,"Certain",2018-02-07,2,2018
"38","Gray Whale","Eschrichtius robustus","51240",3,"spotter_pro",34.081706,-119.937463,"Certain",2018-02-07,2,2018
"39","Gray Whale","Eschrichtius robustus","50940",1,"spotter_pro",33.999241,-119.449151,"Certain",2018-02-07,2,2018
"40","Gray Whale","Eschrichtius robustus","50942",4,"spotter_pro",34.001736,-119.498155,"Certain",2018-02-07,2,2018
"41","Humpback Whale","Megaptera novaeangliae","50976",1,"spotter_pro",34.342308,-119.588263,"Certain",2018-02-10,2,2018
"42","Gray Whale","Eschrichtius robustus","50978",2,"spotter_pro",34.315457,-119.575744,"Certain",2018-02-10,2,2018
"43","Fin Whale","Balaenoptera physalus","50980",1,"spotter_pro",34.176845,-119.621984,"Certain",2018-02-10,2,2018
"44","Gray Whale","Eschrichtius robustus","50979",5,"spotter_pro",34.054095,-119.702605,"Certain",2018-02-10,2,2018
"45","Humpback Whale","Megaptera novaeangliae","50981",1,"spotter_pro",34.342308,-119.588263,"Certain",2018-02-10,2,2018
"46","Gray Whale","Eschrichtius robustus","50983",2,"spotter_pro",34.315457,-119.575744,"Certain",2018-02-10,2,2018
"47","Fin Whale","Balaenoptera physalus","50985",1,"spotter_pro",34.176845,-119.621984,"Certain",2018-02-10,2,2018
"48","Gray Whale","Eschrichtius robustus","50984",5,"spotter_pro",34.054095,-119.702605,"Certain",2018-02-10,2,2018
"49","Gray Whale","Eschrichtius robustus","50995",1,"spotter_pro",34.18676,-119.332682,"Certain",2018-02-11,2,2018
"50","Gray Whale","Eschrichtius robustus","50994",1,"spotter_pro",33.995833,-119.378787,"Certain",2018-02-11,2,2018
"51","Fin Whale","Balaenoptera physalus","50990",4,"spotter_pro",34.085734,-119.423367,"Certain",2018-02-11,2,2018
"52","Gray Whale","Eschrichtius robustus","50992",1,"spotter_pro",34.22863,-119.283085,"Certain",2018-02-12,2,2018
"53","Gray Whale","Eschrichtius robustus","51086",1,"spotter_pro",34.175898,-119.370218,"Possible",2018-02-15,2,2018
"54","Gray Whale","Eschrichtius robustus","51088",3,"spotter_pro",34.06302,-119.555917,"Certain",2018-02-15,2,2018
"55","Gray Whale","Eschrichtius robustus","51050",1,"spotter_pro",34.344726,-119.826773,"Certain",2018-02-16,2,2018
"56","Fin Whale","Balaenoptera physalus","51053",1,"spotter_pro",34.339695,-119.822259,"Certain",2018-02-16,2,2018
"57","Fin Whale","Balaenoptera physalus","51051",6,"spotter_pro",34.140011,-119.896442,"Certain",2018-02-16,2,2018
