OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT,geom,in_ocean,PK_UID,featurecla,scalerank,min_zoom,geom:1,in_channel
27444,2016-02-29 20:40:29+00:00,Eschrichtius robustus,Gray Whale,2,34.178389,-119.391252,spotter_pro,5735,Possible,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.391252 34.178389),,1,1,Ocean,0,0,,1
27532,2016-02-29 22:01:23+00:00,Delphinus capensis,Common Long-Beaked Dolphin,20,34.139482,-119.282202,spotter_pro,5759,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.282202 34.139482),,1,1,Ocean,0,0,,1
27530,2016-02-29 22:11:00+00:00,Eschrichtius robustus,Gray Whale,3,34.114223,-119.290014,spotter_pro,5759,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.290014 34.114223),,1,1,Ocean,0,0,,1
27531,2016-02-29 22:40:15+00:00,Delphinus capensis,Common Long-Beaked Dolphin,100,34.116968,-119.3264,spotter_pro,5759,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.3264 34.116968),,1,1,Ocean,0,0,,1
27527,2016-02-29 22:45:59+00:00,Eschrichtius robustus,Gray Whale,3,34.108973,-119.3352,spotter_pro,5759,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.3352 34.108973),,1,1,Ocean,0,0,,1
27529,2016-02-29 22:50:01+00:00,Delphinus capensis,Common Long-Beaked Dolphin,120,34.11032,-119.342356,spotter_pro,5759,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.342356 34.11032),,1,1,Ocean,0,0,,1
27468,2016-02-29 22:59:41+00:00,Eschrichtius robustus,Gray Whale,5,34.385058,-119.769208,spotter_pro,5740,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.769208 34.385058),,1,1,Ocean,0,0,,1
27528,2016-02-29 23:11:05+00:00,Delphinus capensis,Common Long-Beaked Dolphin,250,34.060078,-119.352034,spotter_pro,5759,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.352034 34.060078),,1,1,Ocean,0,0,,1
27533,2016-03-01 00:14:26+00:00,Eschrichtius robustus,Gray Whale,8,34.117427,-119.271542,spotter_pro,5759,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.271542 34.117427),,1,1,Ocean,0,0,,1
27442,2016-03-01 00:29:48+00:00,Delphinus delphis,Common Short-Beaked Dolphin,50,34.122531,-119.450162,spotter_pro,5735,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137094,POINT (-119.450162 34.122531),,1,1,Ocean,0,0,,1
27482,2016-03-01 18:32:13+00:00,Delphinus delphis,Common Short-Beaked Dolphin,150,34.379784,-119.657739,spotter_pro,5746,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137094,POINT (-119.657739 34.379784),,1,1,Ocean,0,0,,1
